accept,అంగీకరించాలి
diameter,వ్యాసం
diamond,వజ్రం
dictator,నియంత
dictionary,నిఘంటువు
dip,డిప్
direction,దిశ
director,దర్శకుడు
directors,దర్శకులు
dirt,దుమ్ము
disaster,విపత్తు
discussion,చర్చ
disease,వ్యాధి
diseases,వ్యాధులు
disorder,రుగ్మత
distance,దూరం
division,విభజన
doctor,డాక్టర్
doctors,వైద్యులు
dog,కుక్క
dollar,డాలర్
donation,విరాళం
donations,విరాళములు
donkey,గాడిద
door,తలుపు
doors,తలుపులు
doughnut,డోనట్
down,డౌన్
dozen,డజను
draft,డ్రాఫ్ట్
driver,డ్రైవర్
drivers,డ్రైవర్లు
drop,డ్రాప్
drought,కరువు
drum,డ్రమ్ములు
drunkard,తాగుబోతు
dry,పొడి
duck,డక్
dump,డంప్
ear,చెవి
earnings,ఆదాయాలు
ears,చెవులు
earth,భూమి
education,చదువు
egg,గుడ్డు
eggs,గుడ్లు
eighty,ఎనభై
elder,ఎల్డర్
election,ఎన్నికల
elections,ఎన్నికలు
electricity,విద్యుత్
elephant,ఏనుగు
employee,ఉద్యోగి
employer,యజమాని
employers,యజమానులు
employment,ఉపాధి
empty,ఖాళీగా
end,ముగింపు
enemy,శత్రువు
energy,శక్తి
engine,ఇంజిన్
enjoy,ఆనందించండి
entertainment,వినోదం
envelope,కవచ
environment,వాతావరణంలో
equality,సమానత్వం
error,లోపం
estate,ఎస్టేట్
even,కూడా
evening,సాయంత్రం
event,ఈవెంట్
events,ఈవెంట్స్
exam,పరీక్షలో
example,ఉదాహరణ
examples,ఉదాహరణలు
exams,పరీక్షలకు
excess,అదనపు
excite,ఉత్తేజపర్చడానికి
excitement,ఉత్సాహం
exercise,వ్యాయామం
exercises,వ్యాయామాలు
expectation,ఆకాంక్ష
expensive,ఖరీదైన
extra,అదనపు
eyeball,ఐబాల్
eyelid,కనురెప్పను
eyes,కళ్ళు
face,ముఖం
faeces,మలం
faith,విశ్వాసం
fans,అభిమానులు
fat,కొవ్వు
father,తండ్రి
fatigue,అలసట
fault,తప్పు
favourite,ఇష్టమైన
fear,భయం
feast,విందు
fees,ఫీజు
female,మహిళ
ferry,ఫెర్రీ
festival,పండుగ
fever,జ్వరం
few,కొన్ని
field,ఫీల్డ్
file,ఫైలు
filter,వడపోత
final,చివరి
finger,వేలు
fire,ఫైర్
firewood,కట్టెల
first,ప్రధమ
fish,చేపలు
fisherman,మత్స్యకారులు
fishermen,మత్స్యకారులను
fishing,ఫిషింగ్
fist,ముష్టి
five,ఐదు
flesh,మాంసం
flood,వరద
floor,ఫ్లోర్
flow,ప్రవాహం
foam,నురుగు
food,ఆహార
foods,ఆహారాలు
forest,అటవీ
forests,అడవులు
forever,ఎప్పటికీ
form,రూపం
foundations,పునాదులు
four,నాలుగు
fox,నక్క
frame,ఫ్రేమ్
fraud,మోసం
fridge,ఫ్రిజ్
friend,స్నేహితుడు
friends,స్నేహితులు
friendship,స్నేహం
frogs,కప్పలు
fruit,పండు
fruits,పండ్లు
fry,వేసి
gangster,గ్యాంగ్స్టర్
gateway,గేట్వే
gauge,గేజ్
geezer,గీజెర్
general,సాధారణ
geography,భౌగోళిక
geology,భూగర్భ శాస్త్రం
geometry,జ్యామితి
gin,జిన్
giraffe,జిరాఫీ
girl,అమ్మాయి
give,ఇవ్వాలని
glutton,తిండిపోతు
go,వెళ్ళండి
goal,లక్ష్యం
goalkeeper,గోల్కీపర్
goat,మేక
gold,బంగారం
goodness,మంచితనం
gospel,సువార్త
government,ప్రభుత్వం
governor,గవర్నర్
granary,ధాన్యాగార
grandchild,మనవడి
grandfather,తాత
grape,ద్రాక్ష
grass,గడ్డి
grate,కిటికీలకు అమర్చే ఇనుప చట్రం
greediness,అతయాతురము
group,సమూహం
groups,సమూహాలు
grow,పెరుగుతాయి
growth,వృద్ధి
guard,గార్డు
guide,మార్గనిర్దేశం
guineafowl,గినియా పక్షులు
hair,జుట్టు
half,సగం
hammer,సుత్తి
handicap,అంగవైకల్యాన్ని
handicaps,వికలాంగుల
hard,హార్డ్
hat,టోపీ
head,తల
headline,హెడ్లైన్
heads,తలలు
health,ఆరోగ్య
heart,గుండె
hearts,హృదయాలను
heavy,భారీ
hectare,హెక్టారుకు
heel,మడమ
helicopter,హెలికాప్టర్
help,సహాయం
hen,కోడి
hero,హీరో
hippo,హిప్పో
history,చరిత్ర
hive,అందులో నివశించే
hole,రంధ్రం
holes,రంధ్రాలు
home,హోమ్
homestead,హోమ్స్టెడ్
honey,తేనె
honour,గౌరవం
horn,కొమ్ము
horse,గుర్రం
hours,గంటల
human,మానవ
hump,మూపురం
hundred,వందల
hunger,ఆకలి
hunter,వేటగాడు
husband,భర్త
hydrogen,హైడ్రోజన్
hyena,దుమ్ములగొండి
hypocrite,కపటి
idiots,ఇడియట్స్
imitate,అనుకరించటానికి
importance,ప్రాముఖ్యతను
inclusion,చేర్చడం
income,ఆదాయం
industry,పరిశ్రమ
injustice,అన్యాయాన్ని
inspection,తనిఖీ
institution,సంస్థ
insults,అవమానాలకి
intentional,కావాలని
international,అంతర్జాతీయ
interrogate,ప్రశ్నించు
interview,ఇంటర్వ్యూ
introduction,పరిచయం
investigator,పరిశోధకుడిని
investment,పెట్టుబడి
island,ద్వీపం
islands,ద్వీపాలు
issues,సమస్యలు
jacket,జాకెట్
jam,జామ్
janitor,కాపలాదారు
jersey,జెర్సీ
jet,జెట్
joke,జోక్
judge,న్యాయమూర్తి
jug,కూజా
king,రాజు
kitchen,వంటగది
knee,మోకాలి
knees,మోకాలు
knife,కత్తి
knot,ముడి
ladder,నిచ్చెన
ladies,లేడీస్
lady,లేడీ
law,చట్టం
lawn,పచ్చిక
lawns,పచ్చిక
lawyer,న్యాయవాది
lawyers,న్యాయవాదులు
laziness,బద్ధకం
leaders,నాయకులు
leadership,నాయకత్వం
leaf,ఆకు
league,లీగ్
leave,వదిలి
leaves,ఆకులు
lecturer,లెక్చరర్
ledger,లెడ్జర్
leg,కాలు
lens,లెన్స్
leopard,చిరుత
less,తక్కువ
lesson,పాఠం
lessons,పాఠాలు
library,లైబ్రరీ
lid,మూత
life,జీవితం
light,కాంతి
line,లైన్
lines,పంక్తులు
linguistics,భాషాశాస్త్రం
lion,సింహం
liquid,ద్రవ
live,ప్రత్యక్ష
liver,కాలేయ
loan,ఋణం
loans,రుణాలు
log,లాగిన్
logo,లోగో
loneliness,ఒంటరితనం
loss,నష్టం
louse,పేను
love,ప్రేమ
lover,ప్రేమికుడు
lovers,ప్రేమికులకు
luggage,సామాను
machine,యంత్రం
magazine,పత్రిక
magistrate,మేజిస్ట్రేట్
magistrates,న్యాయాధికారులు
maid,మెయిడ్
maize,మొక్కజొన్న
man,మనిషి
manage,నిర్వహించడానికి
manager,నిర్వాహకుడు
mangoes,మామిడి
mansion,ఇంటిని
mark,మార్క్
market,మార్కెట్
markets,మార్కెట్లు
marry,వివాహం
mat,మత్
match,మ్యాచ్
matches,మ్యాచ్లు
mattresses,దుప్పట్లు
mayor,మేయర్
mayors,మేయర్లు
measurement,కొలత
measurements,కొలతలు
meat,మాంసం
medicine,వైద్యం
member,సభ్యుడు
members,సభ్యులు
men,పురుషులు
menstruation,ఋతుస్రావం
mercenary,కిరాయి
mercy,క్షమాభిక్ష
meter,మీటర్
middleman,మిడిల్
milk,పాల
millennium,మిలీనియం
millipede,బహుపాది
mineral,ఖనిజ
minimal,తక్కువ
minister,మంత్రి
ministers,మంత్రులు
minute,నిమిషం
miracle,అద్భుతం
mistake,తప్పు
mistakes,తప్పులు
mister,మిస్టర్
mixture,మిశ్రమం
molar,మోలార్
mole,మోల్
monkey,కోతి
months,నెలల
moon,చంద్రుడు
mop,మాప్
mortar,ఫిరంగి
mother,తల్లి
mountain,పర్వత
mountains,పర్వతాలు
mouth,నోటి
muscle,కండరాల
musician,సంగీతకారుడు
must,తప్పక
name,పేరు
names,పేర్లు
nanny,నానీ
nations,దేశాల
neck,మెడ
need,అవసరం
needs,అవసరాలకు
neighbour,పొరుగు
neighbourhood,పొరుగు
neighbourhoods,పొరుగు
neighbours,పొరుగు
nest,గూడు
net,నికర
network,నెట్వర్క్
newspaper,వార్తాపత్రిక
nice,నైస్
nightmare,నైట్మేర్
nine,తొమ్మిది
ninety,తొం బై
noise,శబ్దం
normal,సాధారణ
nose,ముక్కు
noses,ముక్కులు
note,గమనిక
novel,నవల
november,నవంబర్
nurse,నర్సు
nursing,నర్సింగ్
obedient,విధేయుడిగా
observation,పరిశీలన
occupation,ఆక్రమణ
october,అక్టోబర్
officer,అధికారి
ogre,బేతాళుడు
one,ఒకటి
onion,ఉల్లిపాయ
open,ఓపెన్
opinions,అభిప్రాయాలు
opponent,ప్రత్యర్థి
opponents,ప్రత్యర్థులు
orange,నారింజ
oranges,నారింజ
organizations,సంస్థలు
ostrich,ఉష్ట్రపక్షి
outfits,దుస్తులను
outside,బయట
overcoat,ఓవర్కోట్
overseer,పర్యవేక్షకుడి
overseers,పర్యవేక్షకులు
ox,ఎద్దు
packet,ప్యాకెట్
pad,ప్యాడ్
pain,నొప్పి
palace,ప్యాలెస్
palette,పాలెట్
palm,తాటి
palms,అరచేతులు
panel,ప్యానెల్
paper,కాగితం
papers,పత్రాలు
parallelogram,సమాంతర
parent,పేరెంట్
parents,తల్లిదండ్రులు
parrot,చిలుక
part,భాగం
parties,పార్టీలు
party,పార్టీ
passenger,ప్రయాణీకుల
patch,పాచ్
peacock,నెమలి
peel,తొక్క
pen,పెన్
pepper,పెప్పర్
percentage,శాతం
perfect,పరిపూర్ణ
permission,అనుమతి
permit,పర్మిట్
person,వ్యక్తి
persons,వ్యక్తులు
pharaoh,ఫారో
physics,భౌతిక
picture,చిత్రాన్ని
piece,ముక్క
pilot,పైలట్
pineapples,పైనాఫిళ్లు
pirate,పైరేట్
plant,మొక్క
plants,మొక్కలు
plate,ప్లేట్
player,క్రీడాకారుడు
players,క్రీడాకారులు
plums,రేగు
plural,బహువచనం
poems,పద్యాలు
poet,కవి
point,పాయింట్
police,పోలీసు
politics,రాజకీయాలు
pomegranate,దానిమ్మ
poor,పేద
porridge,గంజి
port,పోర్ట్
pot,పాట్
potato,బంగాళాదుంప
potatoes,బంగాళాదుంపలు
pour,పోయాలి
poverty,పేదరికం
prayer,ప్రార్థన
pregnant,గర్భిణీ
presenter,వ్యాఖ్యాత
president,అధ్యక్షుడు
price,ధర
prisoners,ఖైదీలను
problem,సమస్య
program,కార్యక్రమం
programme,కార్యక్రమం
pronunciation,ఉచ్చారణ
proposals,ప్రతిపాదనలు
public,ప్రజా
pulley,కప్పి
punish,శిక్షించే
punishment,శిక్ష
qualify,అర్హత
quarter,క్వార్టర్
queen,రాణి
question,ప్రశ్న
questions,ప్రశ్నలు
race,రేసు
rain,వర్షం
range,పరిధి
rank,ర్యాంక్
ransom,విమోచన
rash,దద్దుర్లు
rat,ఎలుక
rattle,గిలక్కాయలు
reader,రీడర్
record,రికార్డు
rectangle,దీర్ఘ చతురస్రం
refrigerator,రిఫ్రిజిరేటర్
refuse,తిరస్కరించవచ్చు
regret,చింతిస్తున్నాము
relative,సంబంధిత
repentance,పశ్చాత్తాపం
request,అభ్యర్థన
requests,అభ్యర్థనలు
research,పరిశోధన
residence,నివాసం
resident,నివాసి
respect,గౌరవం
responsibilities,బాధ్యతలు
responsibility,బాధ్యత
results,ఫలితాలు
revolution,విప్లవం
rhetorical,అలంకారిక
rhino,రినో
rhyme,పద్యం
rice,వరి
rich,రిచ్
riddle,చిక్కు
right,కుడి
rings,ఉంగరాలు
river,నది
rivers,నదులు
roof,పైకప్పు
room,గది
rooms,గదులు
rooster,రూస్టర్
root,రూట్
roots,మూలాలు
rope,తాడు
row,వరుసగా
rubble,రాళ్లూ
rug,రగ్గు
ruins,శిధిలాల
rust,రస్ట్
safety,భద్రత
sailor,నావికుడు
salaries,జీతాలు
salary,జీతం
sales,అమ్మకాలు
salt,ఉ ప్పు
sanctions,ఆంక్షలు
saxophone,శాక్సోఫోన్
saying,మాట్లాడుతూ
scales,ప్రమాణాల
school,పాఠశాల
science,సైన్స్
scissor,వంకర టింకరగా
score,స్కోరు
sea,సముద్ర
season,బుతువు
secretary,కార్యదర్శి
section,విభాగం
sector,రంగం
seed,సీడ్
seedling,విత్తనాల
selfish,స్వార్థ
seminar,సదస్సు
september,సెప్టెంబర్
servant,సేవకుడు
servants,సేవకులు
service,సేవ
seven,ఏడు
seventy,డెబ్బై
sex,సెక్స్
shark,షార్క్
sheep,గొర్రెలు
shelve,అరలో
shift,మార్పు
shock,షాక్
shoe,షూ
shoes,బూట్లు
shoulder,భుజం
shout,అరవడం
showers,వర్షం
shows,ప్రదర్శనలు
side,వైపు
sieve,జల్లెడ
silence,నిశ్శబ్దం
silver,వెండి
sin,పాపం
six,ఆరు
sixty,అరవై
skins,తొక్కలు
slap,చరుపు
slope,వాలు
small,చిన్న
smoke,పొగ
snake,పాము
soap,సబ్బు
soccer,సాకర్
soil,మట్టి
solve,పరిష్కరించడానికి
sorcerer,మాంత్రికుడు
sorry,క్షమించండి
sour,పుల్లని
space,స్థలం
spark,స్పార్క్
spectacles,జోళ్ళ
speech,ప్రసంగం
speed,వేగం
sphere,గోళం
spice,మసాలా
spider,సాలీడు
spokesperson,ప్రతినిధి
spoon,చెంచా
sport,క్రీడ
sports,క్రీడలు
spot,స్పాట్
square,చదరపు
squeeze,స్క్వీజ్
stabilize,స్థిరీకరించేందుకు
stable,స్థిరంగా
stalk,కొమ్మ
stall,దుకాణము
stand,స్టాండ్
star,స్టార్
state,రాష్ట్ర
statement,ప్రకటన
station,స్టేషన్
statistics,గణాంకాలు
steam,ఆవిరి
step,అడుగు
stew,కూర
stick,స్టిక్
stomach,కడుపు
stone,రాయి
stool,స్టూల్
storage,నిల్వ
story,కథ
stove,స్టవ్
strength,బలం
strike,సమ్మె
string,స్ట్రింగ్
strong,బలమైన
struggle,పోరాటం
student,విద్యార్ధి
students,విద్యార్థులు
study,అధ్యయనం
subjects,విషయాలను
successor,వారసుడు
sugar,చక్కెర
suit,దావా
sum,మొత్తం
sun,సూర్యుడు
supervision,పర్యవేక్షణ
surveillance,నిఘా
suspect,అనుమానితుడు
sweat,స్వేద
swell,కెరటం
system,వ్యవస్థ
table,పట్టిక
tail,తోక
tangerine,టాన్జేరిన్
tap,టాప్
tape,టేప్
taste,రుచి
taxi,టాక్సీ
tea,టీ
teacher,గురువు
teachers,ఉపాధ్యాయులు
team,జట్టు
tears,కన్నీళ్లు
teeth,పళ్ళు
telephone,టెలిఫోన్
television,టెలివిజన్
ten,పది
test,పరీక్ష
tests,పరీక్షలు
theft,దొంగతనం
therefore,అందువలన
thick,మందపాటి
thieves,దొంగలు
thighs,తొడల
thin,సన్నని
thing,విషయం
thirty,ముప్పై
thorn,ముల్లు
thorns,ముళ్ళు
thought,భావించాను
thousand,వెయ్యి
three,మూడు
throat,గొంతు
tick,టిక్
tie,టై
timber,కలప
time,సమయం
timing,టైమింగ్
tin,టిన్
today,నేడు
token,టోకెన్
tomato,టమోటా
tongue,నాలుక
tool,సాధనం
tools,టూల్స్
tooth,పంటి
tortoise,తాబేలు
touch,టచ్
tourist,పర్యాటక
town,పట్టణం
tradition,సంప్రదాయం
traditional,సంప్రదాయకమైన
translation,అనువాదం
transportation,రవాణా
trap,ఉచ్చు
traps,ఉచ్చులు
traveler,ప్రయాణికుడు
tree,చెట్టు
trees,చెట్లు
trench,కందకం
tribe,తెగ
trouser,టవుజర్
tube,ట్యూబ్
turtle,తాబేలు
twenty,ఇరవై
two,రెండు
umbrella,గొడుగు
underwear,లోదుస్తుల
unity,ఐక్యత
up,అప్
urge,కోరారు
use,వా డు
utterance,ఉచ్ఛారణను
vaccine,టీకా
valley,లోయలో
value,విలువ
vegetable,కూరగాయల
vein,పంథాలో
vice,వైస్
victory,విజయం
view,వీక్షణ
viewer,వీక్షకుడు
village,గ్రామం
virgin,కన్నె
virus,వైరస్
vision,దృష్టి
waist,నడుము
wall,గోడ
wallet,జేబు
walls,గోడలు
want,కావలసిన
warbler,పాటకుడు
warm,వెచ్చని
warn,హెచ్చరిస్తుంది
warning,హెచ్చరిక
wars,యుద్ధాలు
wash,వాష్
watchman,కాపలాదారు
watchmen,వాచ్మెన్
water,నీటి
wave,వేవ్
waves,తరంగాలు
way,మార్గం
weapons,ఆయుధాలు
whistle,విజిల్
wide,విస్తృత
width,వెడల్పు
wife,భార్య
wilderness,నిర్జన
window,కిటికీ
winner,విజేత
winners,విజేతలు
wire,వైర్
wisdom,జ్ఞానం
woman,మహిళ
womb,గర్భం
women,మహిళలు
wonder,ఆశ్చర్యానికి
words,పదాలు
work,పని
world,ప్రపంచ
worry,ఆందోళన
worship,ఆరాధన
wound,గాయం
writing,రచన
yard,యార్డ్
year,సంవత్సరం
years,సంవత్సరాల
yellow,పసుపు
yesterday,నిన్న
youth,యువత
