id,lessonId,seq,subjectUnitId,objectUnitId,highlight
148,4,6,I,income,
149,4,7,I,industry,
150,4,8,I,injection,
151,4,1,J,jacket,
152,4,2,J,jackfruit,
153,4,3,J,jam,
154,4,4,J,janitor,
155,4,5,J,jersey,
156,4,6,J,jet,
157,4,7,J,joker,
158,4,8,J,judge,
159,4,1,K,kilogram,
160,4,2,K,king,
161,4,3,K,kitchen,
162,4,4,K,knees,
163,4,5,K,knife,
164,4,6,K,knot,
165,4,1,L,ladder,
166,4,2,L,ladies,
167,4,3,L,lady,
168,4,4,L,law,
169,4,5,L,lawyer,
170,4,6,L,lawyers,
171,4,7,L,laziness,
172,4,8,L,leaders,
173,4,1,M,machine,
174,4,2,M,magazine,
175,4,3,M,magistrate,
176,4,4,M,maid,
177,4,5,M,maize,
178,4,6,M,makeup,
179,4,7,M,man,
180,4,8,M,manage,
181,4,1,N,name,
182,4,2,N,nanny,
183,4,3,N,nation,
184,4,4,N,neck,
185,4,5,N,need,
186,4,6,N,neighbour,
187,4,7,N,neighbourhood,
188,4,8,N,nest,
189,4,1,O,obedient,
190,4,2,O,observation,
191,4,3,O,occurence,
192,4,4,O,officer,
193,4,5,O,old,
194,4,6,O,one,
195,4,7,O,onion,
196,4,8,O,open,
197,4,1,P,packet,
198,4,2,P,pad,
199,4,3,P,palace,
200,4,4,P,palette,
201,4,5,P,palm,
202,4,6,P,panel,
203,4,7,P,papaya,
204,4,8,P,paper,
205,4,1,Q,qualify,
206,4,2,Q,quarter,
207,4,3,Q,queen,
208,4,4,Q,question,
209,4,5,Q,questions,
210,4,1,R,race,
211,4,2,R,radio,
212,4,3,R,rain,
213,4,4,R,range,
214,4,5,R,rank,
215,4,6,R,ransom,
216,4,7,R,rash,
217,4,8,R,rat,
218,4,1,S,safety,
219,4,2,S,sailor,
220,4,3,S,salaries,
221,4,4,S,salary,
222,4,5,S,sales,
223,4,6,S,salt,
224,4,7,S,sana,
225,4,8,S,sanctions,
226,4,1,T,table,
227,4,2,T,tablet,
228,4,3,T,tail,
229,4,4,T,tangerine,
230,4,5,T,tap,
231,4,6,T,tape,
232,4,7,T,taste,
233,4,8,T,taxi,
234,4,1,U,umbrella,
235,4,2,U,underwear,
236,4,3,U,unity,
237,4,4,U,university,
238,4,5,U,up,
239,4,6,U,utterance,
240,4,1,V,vaccine,
241,4,2,V,valley,
242,4,3,V,value,
243,4,4,V,vegetable,
244,4,5,V,vein,
245,4,6,V,victory,
246,4,7,V,view,
247,4,8,V,village,
248,4,1,W,waist,
249,4,2,W,wall,
250,4,3,W,wallet,
251,4,4,W,want,
252,4,5,W,warm,
253,4,6,W,warn,
254,4,7,W,warning,
255,4,8,W,wash,
256,4,1,X,xray,
257,4,1,Y,yard,
258,4,2,Y,year,
259,4,3,Y,yellow,
260,4,4,Y,yes,
261,4,5,Y,yesterday,
262,4,6,Y,youth,
263,4,1,Z,zebra,
264,5,1,A,accept,
265,5,2,A,accident,
266,5,3,A,account,
267,5,4,A,accused,
268,5,5,A,accuser,
269,5,6,A,act,
270,5,7,A,action,
271,5,8,A,add,
272,5,1,B,baboon,
273,5,2,B,back,
274,5,3,B,bag,
275,5,4,B,bags,
276,5,5,B,bald,
277,5,6,B,ban,
278,5,7,B,banana,
279,5,8,B,band,
280,5,1,C,cabbage,
281,5,2,C,cafe,
282,5,3,C,cake,
283,5,4,C,call,
284,5,5,C,camel,
285,5,6,C,camera,
286,5,7,C,camp,
287,5,8,C,cancel,
288,5,1,D,daisy,
289,5,2,D,dancer,
290,5,3,D,daughter,
291,5,4,D,day,
292,5,5,D,death,
293,5,6,D,debate,
294,5,7,D,deer,
295,5,8,D,defender,
296,5,1,E,eagle,
297,5,2,E,ear,
298,5,3,E,earnings,
299,5,4,E,earth,
300,5,5,E,eat,
301,5,6,E,education,
302,5,7,E,eggs,
303,5,8,E,eighty,
304,5,1,F,face,
305,5,2,F,faith,
306,5,3,F,family,
307,5,4,F,fan,
308,5,5,F,fashion,
309,5,6,F,fat,
310,5,7,F,father,
311,5,8,F,fatigue,
312,5,1,G,gangster,
313,5,2,G,gateway,
314,5,3,G,gauge,
315,5,4,G,general,
316,5,5,G,geography,
317,5,6,G,geology,
318,5,7,G,geometry,
319,5,8,G,gift,
320,5,1,H,hair,
321,5,2,H,half,
322,5,3,H,hammer,
323,5,4,H,hand,
324,5,5,H,handicap,
325,5,6,H,happy,
326,5,7,H,hat,
327,5,8,H,head,
328,5,1,I,ice,
329,5,2,I,idiot,
330,5,3,I,imitate,
331,5,4,I,importance,
332,5,5,I,inclusion,
333,5,6,I,income,
334,5,7,I,industry,
335,5,8,I,injection,
336,5,1,J,jacket,
337,5,2,J,jackfruit,
338,5,3,J,jam,
339,5,4,J,janitor,
340,5,5,J,jersey,
341,5,6,J,jet,
342,5,7,J,joker,
343,5,8,J,judge,
344,5,1,K,kilogram,
345,5,2,K,king,
346,5,3,K,kitchen,
347,5,4,K,knees,
348,5,5,K,knife,
349,5,6,K,knot,
350,5,1,L,ladder,
351,5,2,L,ladies,
352,5,3,L,lady,
353,5,4,L,law,
354,5,5,L,lawyer,
355,5,6,L,lawyers,
356,5,7,L,laziness,
357,5,8,L,leaders,
358,5,1,M,machine,
359,5,2,M,magazine,
360,5,3,M,magistrate,
361,5,4,M,maid,
362,5,5,M,maize,
363,5,6,M,makeup,
364,5,7,M,man,
365,5,8,M,manage,
366,5,1,N,name,
367,5,2,N,nanny,
368,5,3,N,nation,
369,5,4,N,neck,
370,5,5,N,need,
371,5,6,N,neighbour,
372,5,7,N,neighbourhood,
373,5,8,N,nest,
374,5,1,O,obedient,
375,5,2,O,observation,
376,5,3,O,occurence,
377,5,4,O,officer,
378,5,5,O,old,
379,5,6,O,one,
380,5,7,O,onion,
381,5,8,O,open,
382,5,1,P,packet,
383,5,2,P,pad,
384,5,3,P,palace,
385,5,4,P,palette,
386,5,5,P,palm,
387,5,6,P,panel,
388,5,7,P,papaya,
389,5,8,P,paper,
390,5,1,Q,qualify,
391,5,2,Q,quarter,
392,5,3,Q,queen,
393,5,4,Q,question,
394,5,5,Q,questions,
395,5,1,R,race,
396,5,2,R,radio,
397,5,3,R,rain,
398,5,4,R,range,
399,5,5,R,rank,
400,5,6,R,ransom,
401,5,7,R,rash,
402,5,8,R,rat,
403,5,1,S,safety,
404,5,2,S,sailor,
405,5,3,S,salaries,
406,5,4,S,salary,
407,5,5,S,sales,
408,5,6,S,salt,
409,5,7,S,sana,
410,5,8,S,sanctions,
411,5,1,T,table,
412,5,2,T,tablet,
413,5,3,T,tail,
414,5,4,T,tangerine,
415,5,5,T,tap,
416,5,6,T,tape,
417,5,7,T,taste,
418,5,8,T,taxi,
419,5,1,U,umbrella,
420,5,2,U,underwear,
421,5,3,U,unity,
422,5,4,U,university,
423,5,5,U,up,
424,5,6,U,utterance,
425,5,1,V,vaccine,
426,5,2,V,valley,
427,5,3,V,value,
428,5,4,V,vegetable,
429,5,5,V,vein,
430,5,6,V,victory,
431,5,7,V,view,
432,5,8,V,village,
433,5,1,W,waist,
434,5,2,W,wall,
435,5,3,W,wallet,
436,5,4,W,want,
437,5,5,W,warm,
438,5,6,W,warn,
439,5,7,W,warning,
440,5,8,W,wash,
441,5,1,X,xray,
442,5,1,Y,yard,
443,5,2,Y,year,
444,5,3,Y,yellow,
445,5,4,Y,yes,
446,5,5,Y,yesterday,
447,5,6,Y,youth,
448,5,1,Z,zebra,
