id,name,type,image,sound,phonemeSound
y,y,1,,eng/audio/y.ogg,eng/audio/y.ogg
z,z,1,,eng/audio/z.ogg,eng/audio/z.ogg
accept,accept,4,eng/image/accept.png,eng/audio/accept.ogg,eng/audio/accept.ogg
accident,accident,4,eng/image/accident.png,eng/audio/accident.ogg,eng/audio/accident.ogg
account,account,4,eng/image/account.png,eng/audio/account.ogg,eng/audio/account.ogg
accused,accused,4,eng/image/accused.png,eng/audio/accused.ogg,eng/audio/accused.ogg
accuser,accuser,4,eng/image/accuser.png,eng/audio/accuser.ogg,eng/audio/accuser.ogg
act,act,4,eng/image/act.png,eng/audio/act.ogg,eng/audio/act.ogg
action,action,4,eng/image/action.png,eng/audio/action.ogg,eng/audio/action.ogg
add,add,4,eng/image/add.png,eng/audio/add.ogg,eng/audio/add.ogg
address,address,4,eng/image/address.png,eng/audio/address.ogg,eng/audio/address.ogg
aeroplane,aeroplane,4,eng/image/aeroplane.png,eng/audio/aeroplane.ogg,eng/audio/aeroplane.ogg
against,against,4,eng/image/against.png,eng/audio/against.ogg,eng/audio/against.ogg
aged,aged,4,eng/image/aged.png,eng/audio/aged.ogg,eng/audio/aged.ogg
agitator,agitator,4,eng/image/agitator.png,eng/audio/agitator.ogg,eng/audio/agitator.ogg
agree,agree,4,eng/image/agree.png,eng/audio/agree.ogg,eng/audio/agree.ogg
aim,aim,4,eng/image/aim.png,eng/audio/aim.ogg,eng/audio/aim.ogg
air,air,4,eng/image/air.png,eng/audio/air.ogg,eng/audio/air.ogg
album,album,4,eng/image/album.png,eng/audio/album.ogg,eng/audio/album.ogg
allow,allow,4,eng/image/allow.png,eng/audio/allow.ogg,eng/audio/allow.ogg
ambassador,ambassador,4,eng/image/ambassador.png,eng/audio/ambassador.ogg,eng/audio/ambassador.ogg
ancestor,ancestor,4,eng/image/ancestor.png,eng/audio/ancestor.ogg,eng/audio/ancestor.ogg
anchor,anchor,4,eng/image/anchor.png,eng/audio/anchor.ogg,eng/audio/anchor.ogg
anger,anger,4,eng/image/anger.png,eng/audio/anger.ogg,eng/audio/anger.ogg
angry,angry,4,eng/image/angry.png,eng/audio/angry.ogg,eng/audio/angry.ogg
animal,animal,4,eng/image/animal.png,eng/audio/animal.ogg,eng/audio/animal.ogg
animals,animals,4,eng/image/animals.png,eng/audio/animals.ogg,eng/audio/animals.ogg
answer,answer,4,eng/image/answer.png,eng/audio/answer.ogg,eng/audio/answer.ogg
answers,answers,4,eng/image/answers.png,eng/audio/answers.ogg,eng/audio/answers.ogg
ant,ant,4,eng/image/ant.png,eng/audio/ant.ogg,eng/audio/ant.ogg
apartment,apartment,4,eng/image/apartment.png,eng/audio/apartment.ogg,eng/audio/apartment.ogg
apparatus,apparatus,4,eng/image/apparatus.png,eng/audio/apparatus.ogg,eng/audio/apparatus.ogg
appease,appease,4,eng/image/appease.png,eng/audio/appease.ogg,eng/audio/appease.ogg
apple,apple,4,eng/image/apple.png,eng/audio/apple.ogg,eng/audio/apple.ogg
appropriate,appropriate,4,eng/image/appropriate.png,eng/audio/appropriate.ogg,eng/audio/appropriate.ogg
apron,apron,4,eng/image/apron.png,eng/audio/apron.ogg,eng/audio/apron.ogg
archaic,archaic,4,eng/image/archaic.png,eng/audio/archaic.ogg,eng/audio/archaic.ogg
arm,arm,4,eng/image/arm.png,eng/audio/arm.ogg,eng/audio/arm.ogg
armies,armies,4,eng/image/armies.png,eng/audio/armies.ogg,eng/audio/armies.ogg
army,army,4,eng/image/army.png,eng/audio/army.ogg,eng/audio/army.ogg
arrangement,arrangement,4,eng/image/arrangement.png,eng/audio/arrangement.ogg,eng/audio/arrangement.ogg
arrow,arrow,4,eng/image/arrow.png,eng/audio/arrow.ogg,eng/audio/arrow.ogg
article,article,4,eng/image/article.png,eng/audio/article.ogg,eng/audio/article.ogg
artist,artist,4,eng/image/artist.png,eng/audio/artist.ogg,eng/audio/artist.ogg
ash,ash,4,eng/image/ash.png,eng/audio/ash.ogg,eng/audio/ash.ogg
ashes,ashes,4,eng/image/ashes.png,eng/audio/ashes.ogg,eng/audio/ashes.ogg
assessment,assessment,4,eng/image/assessment.png,eng/audio/assessment.ogg,eng/audio/assessment.ogg
assistant,assistant,4,eng/image/assistant.png,eng/audio/assistant.ogg,eng/audio/assistant.ogg
astronomy,astronomy,4,eng/image/astronomy.png,eng/audio/astronomy.ogg,eng/audio/astronomy.ogg
athletics,athletics,4,eng/image/athletics.png,eng/audio/athletics.ogg,eng/audio/athletics.ogg
aunt,aunt,4,eng/image/aunt.png,eng/audio/aunt.ogg,eng/audio/aunt.ogg
author,author,4,eng/image/author.png,eng/audio/author.ogg,eng/audio/author.ogg
authority,authority,4,eng/image/authority.png,eng/audio/authority.ogg,eng/audio/authority.ogg
baboon,baboon,4,eng/image/baboon.png,eng/audio/baboon.ogg,eng/audio/baboon.ogg
back,back,4,eng/image/back.png,eng/audio/back.ogg,eng/audio/back.ogg
bag,bag,4,eng/image/bag.png,eng/audio/bag.ogg,eng/audio/bag.ogg
bags,bags,4,eng/image/bags.png,eng/audio/bags.ogg,eng/audio/bags.ogg
bald,bald,4,eng/image/bald.png,eng/audio/bald.ogg,eng/audio/bald.ogg
ban,ban,4,eng/image/ban.png,eng/audio/ban.ogg,eng/audio/ban.ogg
banana,banana,4,eng/image/banana.png,eng/audio/banana.ogg,eng/audio/banana.ogg
band,band,4,eng/image/band.png,eng/audio/band.ogg,eng/audio/band.ogg
bank,bank,4,eng/image/bank.png,eng/audio/bank.ogg,eng/audio/bank.ogg
bark,bark,4,eng/image/bark.png,eng/audio/bark.ogg,eng/audio/bark.ogg
barrier,barrier,4,eng/image/barrier.png,eng/audio/barrier.ogg,eng/audio/barrier.ogg
basin,basin,4,eng/image/basin.png,eng/audio/basin.ogg,eng/audio/basin.ogg
basket,basket,4,eng/image/basket.png,eng/audio/basket.ogg,eng/audio/basket.ogg
bat,bat,4,eng/image/bat.png,eng/audio/bat.ogg,eng/audio/bat.ogg
bean,bean,4,eng/image/bean.png,eng/audio/bean.ogg,eng/audio/bean.ogg
beans,beans,4,eng/image/beans.png,eng/audio/beans.ogg,eng/audio/beans.ogg
beat,beat,4,eng/image/beat.png,eng/audio/beat.ogg,eng/audio/beat.ogg
bed,bed,4,eng/image/bed.png,eng/audio/bed.ogg,eng/audio/bed.ogg
bedbug,bedbug,4,eng/image/bedbug.png,eng/audio/bedbug.ogg,eng/audio/bedbug.ogg
bee,bee,4,eng/image/bee.png,eng/audio/bee.ogg,eng/audio/bee.ogg
bell,bell,4,eng/image/bell.png,eng/audio/bell.ogg,eng/audio/bell.ogg
benefit,benefit,4,eng/image/benefit.png,eng/audio/benefit.ogg,eng/audio/benefit.ogg
berry,berry,4,eng/image/berry.png,eng/audio/berry.ogg,eng/audio/berry.ogg
better,better,4,eng/image/better.png,eng/audio/better.ogg,eng/audio/better.ogg
big,big,4,eng/image/big.png,eng/audio/big.ogg,eng/audio/big.ogg
billion,billion,4,eng/image/billion.png,eng/audio/billion.ogg,eng/audio/billion.ogg
bin,bin,4,eng/image/bin.png,eng/audio/bin.ogg,eng/audio/bin.ogg
bird,bird,4,eng/image/bird.png,eng/audio/bird.ogg,eng/audio/bird.ogg
biscuit,biscuit,4,eng/image/biscuit.png,eng/audio/biscuit.ogg,eng/audio/biscuit.ogg
blanket,blanket,4,eng/image/blanket.png,eng/audio/blanket.ogg,eng/audio/blanket.ogg
blessing,blessing,4,eng/image/blessing.png,eng/audio/blessing.ogg,eng/audio/blessing.ogg
blue,blue,4,eng/image/blue.png,eng/audio/blue.ogg,eng/audio/blue.ogg
body,body,4,eng/image/body.png,eng/audio/body.ogg,eng/audio/body.ogg
boil,boil,4,eng/image/boil.png,eng/audio/boil.ogg,eng/audio/boil.ogg
bomb,bomb,4,eng/image/bomb.png,eng/audio/bomb.ogg,eng/audio/bomb.ogg
bone,bone,4,eng/image/bone.png,eng/audio/bone.ogg,eng/audio/bone.ogg
bones,bones,4,eng/image/bones.png,eng/audio/bones.ogg,eng/audio/bones.ogg
book,book,4,eng/image/book.png,eng/audio/book.ogg,eng/audio/book.ogg
books,books,4,eng/image/books.png,eng/audio/books.ogg,eng/audio/books.ogg
bother,bother,4,eng/image/bother.png,eng/audio/bother.ogg,eng/audio/bother.ogg
bottle,bottle,4,eng/image/bottle.png,eng/audio/bottle.ogg,eng/audio/bottle.ogg
bounce,bounce,4,eng/image/bounce.png,eng/audio/bounce.ogg,eng/audio/bounce.ogg
boundary,boundary,4,eng/image/boundary.png,eng/audio/boundary.ogg,eng/audio/boundary.ogg
bow,bow,4,eng/image/bow.png,eng/audio/bow.ogg,eng/audio/bow.ogg
bowl,bowl,4,eng/image/bowl.png,eng/audio/bowl.ogg,eng/audio/bowl.ogg
boxer,boxer,4,eng/image/boxer.png,eng/audio/boxer.ogg,eng/audio/boxer.ogg
boy,boy,4,eng/image/boy.png,eng/audio/boy.ogg,eng/audio/boy.ogg
boys,boys,4,eng/image/boys.png,eng/audio/boys.ogg,eng/audio/boys.ogg
brain,brain,4,eng/image/brain.png,eng/audio/brain.ogg,eng/audio/brain.ogg
branch,branch,4,eng/image/branch.png,eng/audio/branch.ogg,eng/audio/branch.ogg
branches,branches,4,eng/image/branches.png,eng/audio/branches.ogg,eng/audio/branches.ogg
bravery,bravery,4,eng/image/bravery.png,eng/audio/bravery.ogg,eng/audio/bravery.ogg
bread,bread,4,eng/image/bread.png,eng/audio/bread.ogg,eng/audio/bread.ogg
bucket,bucket,4,eng/image/bucket.png,eng/audio/bucket.ogg,eng/audio/bucket.ogg
budget,budget,4,eng/image/budget.png,eng/audio/budget.ogg,eng/audio/budget.ogg
buffalo,buffalo,4,eng/image/buffalo.png,eng/audio/buffalo.ogg,eng/audio/buffalo.ogg
building,building,4,eng/image/building.png,eng/audio/building.ogg,eng/audio/building.ogg
buildings,buildings,4,eng/image/buildings.png,eng/audio/buildings.ogg,eng/audio/buildings.ogg
bulb,bulb,4,eng/image/bulb.png,eng/audio/bulb.ogg,eng/audio/bulb.ogg
burn,burn,4,eng/image/burn.png,eng/audio/burn.ogg,eng/audio/burn.ogg
bush,bush,4,eng/image/bush.png,eng/audio/bush.ogg,eng/audio/bush.ogg
button,button,4,eng/image/button.png,eng/audio/button.ogg,eng/audio/button.ogg
cabbage,cabbage,4,eng/image/cabbage.png,eng/audio/cabbage.ogg,eng/audio/cabbage.ogg
cafe,cafe,4,eng/image/cafe.png,eng/audio/cafe.ogg,eng/audio/cafe.ogg
cake,cake,4,eng/image/cake.png,eng/audio/cake.ogg,eng/audio/cake.ogg
call,call,4,eng/image/call.png,eng/audio/call.ogg,eng/audio/call.ogg
camel,camel,4,eng/image/camel.png,eng/audio/camel.ogg,eng/audio/camel.ogg
camera,camera,4,eng/image/camera.png,eng/audio/camera.ogg,eng/audio/camera.ogg
camp,camp,4,eng/image/camp.png,eng/audio/camp.ogg,eng/audio/camp.ogg
cancel,cancel,4,eng/image/cancel.png,eng/audio/cancel.ogg,eng/audio/cancel.ogg
cancer,cancer,4,eng/image/cancer.png,eng/audio/cancer.ogg,eng/audio/cancer.ogg
candle,candle,4,eng/image/candle.png,eng/audio/candle.ogg,eng/audio/candle.ogg
cane,cane,4,eng/image/cane.png,eng/audio/cane.ogg,eng/audio/cane.ogg
canoe,canoe,4,eng/image/canoe.png,eng/audio/canoe.ogg,eng/audio/canoe.ogg
cap,cap,4,eng/image/cap.png,eng/audio/cap.ogg,eng/audio/cap.ogg
car,car,4,eng/image/car.png,eng/audio/car.ogg,eng/audio/car.ogg
carbon,carbon,4,eng/image/carbon.png,eng/audio/carbon.ogg,eng/audio/carbon.ogg
card,card,4,eng/image/card.png,eng/audio/card.ogg,eng/audio/card.ogg
carefully,carefully,4,eng/image/carefully.png,eng/audio/carefully.ogg,eng/audio/carefully.ogg
carpenter,carpenter,4,eng/image/carpenter.png,eng/audio/carpenter.ogg,eng/audio/carpenter.ogg
cart,cart,4,eng/image/cart.png,eng/audio/cart.ogg,eng/audio/cart.ogg
case,case,4,eng/image/case.png,eng/audio/case.ogg,eng/audio/case.ogg
cassette,cassette,4,eng/image/cassette.png,eng/audio/cassette.ogg,eng/audio/cassette.ogg
cat,cat,4,eng/image/cat.png,eng/audio/cat.ogg,eng/audio/cat.ogg
celebration,celebration,4,eng/image/celebration.png,eng/audio/celebration.ogg,eng/audio/celebration.ogg
certificate,certificate,4,eng/image/certificate.png,eng/audio/certificate.ogg,eng/audio/certificate.ogg
chain,chain,4,eng/image/chain.png,eng/audio/chain.ogg,eng/audio/chain.ogg
chair,chair,4,eng/image/chair.png,eng/audio/chair.ogg,eng/audio/chair.ogg
champion,champion,4,eng/image/champion.png,eng/audio/champion.ogg,eng/audio/champion.ogg
charcoal,charcoal,4,eng/image/charcoal.png,eng/audio/charcoal.ogg,eng/audio/charcoal.ogg
charge,charge,4,eng/image/charge.png,eng/audio/charge.ogg,eng/audio/charge.ogg
chart,chart,4,eng/image/chart.png,eng/audio/chart.ogg,eng/audio/chart.ogg
cheerful,cheerful,4,eng/image/cheerful.png,eng/audio/cheerful.ogg,eng/audio/cheerful.ogg
cheese,cheese,4,eng/image/cheese.png,eng/audio/cheese.ogg,eng/audio/cheese.ogg
chemistry,chemistry,4,eng/image/chemistry.png,eng/audio/chemistry.ogg,eng/audio/chemistry.ogg
chess,chess,4,eng/image/chess.png,eng/audio/chess.ogg,eng/audio/chess.ogg
chest,chest,4,eng/image/chest.png,eng/audio/chest.ogg,eng/audio/chest.ogg
chick,chick,4,eng/image/chick.png,eng/audio/chick.ogg,eng/audio/chick.ogg
chicken,chicken,4,eng/image/chicken.png,eng/audio/chicken.ogg,eng/audio/chicken.ogg
chief,chief,4,eng/image/chief.png,eng/audio/chief.ogg,eng/audio/chief.ogg
child,child,4,eng/image/child.png,eng/audio/child.ogg,eng/audio/child.ogg
children,children,4,eng/image/children.png,eng/audio/children.ogg,eng/audio/children.ogg
chocolate,chocolate,4,eng/image/chocolate.png,eng/audio/chocolate.ogg,eng/audio/chocolate.ogg
choice,choice,4,eng/image/choice.png,eng/audio/choice.ogg,eng/audio/choice.ogg
choir,choir,4,eng/image/choir.png,eng/audio/choir.ogg,eng/audio/choir.ogg
christmas,christmas,4,eng/image/christmas.png,eng/audio/christmas.ogg,eng/audio/christmas.ogg
church,church,4,eng/image/church.png,eng/audio/church.ogg,eng/audio/church.ogg
cigarette,cigarette,4,eng/image/cigarette.png,eng/audio/cigarette.ogg,eng/audio/cigarette.ogg
citizen,citizen,4,eng/image/citizen.png,eng/audio/citizen.ogg,eng/audio/citizen.ogg
city,city,4,eng/image/city.png,eng/audio/city.ogg,eng/audio/city.ogg
clamp,clamp,4,eng/image/clamp.png,eng/audio/clamp.ogg,eng/audio/clamp.ogg
classroom,classroom,4,eng/image/classroom.png,eng/audio/classroom.ogg,eng/audio/classroom.ogg
clean,clean,4,eng/image/clean.png,eng/audio/clean.ogg,eng/audio/clean.ogg
cleanliness,cleanliness,4,eng/image/cleanliness.png,eng/audio/cleanliness.ogg,eng/audio/cleanliness.ogg
clinic,clinic,4,eng/image/clinic.png,eng/audio/clinic.ogg,eng/audio/clinic.ogg
cloud,cloud,4,eng/image/cloud.png,eng/audio/cloud.ogg,eng/audio/cloud.ogg
clown,clown,4,eng/image/clown.png,eng/audio/clown.ogg,eng/audio/clown.ogg
club,club,4,eng/image/club.png,eng/audio/club.ogg,eng/audio/club.ogg
clue,clue,4,eng/image/clue.png,eng/audio/clue.ogg,eng/audio/clue.ogg
coach,coach,4,eng/image/coach.png,eng/audio/coach.ogg,eng/audio/coach.ogg
coast,coast,4,eng/image/coast.png,eng/audio/coast.ogg,eng/audio/coast.ogg
coat,coat,4,eng/image/coat.png,eng/audio/coat.ogg,eng/audio/coat.ogg
cock,cock,4,eng/image/cock.png,eng/audio/cock.ogg,eng/audio/cock.ogg
cockroach,cockroach,4,eng/image/cockroach.png,eng/audio/cockroach.ogg,eng/audio/cockroach.ogg
coconut,coconut,4,eng/image/coconut.png,eng/audio/coconut.ogg,eng/audio/coconut.ogg
coffee,coffee,4,eng/image/coffee.png,eng/audio/coffee.ogg,eng/audio/coffee.ogg
coin,coin,4,eng/image/coin.png,eng/audio/coin.ogg,eng/audio/coin.ogg
cold,cold,4,eng/image/cold.png,eng/audio/cold.ogg,eng/audio/cold.ogg
collaboration,collaboration,4,eng/image/collaboration.png,eng/audio/collaboration.ogg,eng/audio/collaboration.ogg
command,command,4,eng/image/command.png,eng/audio/command.ogg,eng/audio/command.ogg
commander,commander,4,eng/image/commander.png,eng/audio/commander.ogg,eng/audio/commander.ogg
commission,commission,4,eng/image/commission.png,eng/audio/commission.ogg,eng/audio/commission.ogg
commissioner,commissioner,4,eng/image/commissioner.png,eng/audio/commissioner.ogg,eng/audio/commissioner.ogg
committee,committee,4,eng/image/committee.png,eng/audio/committee.ogg,eng/audio/committee.ogg
communication,communication,4,eng/image/communication.png,eng/audio/communication.ogg,eng/audio/communication.ogg
community,community,4,eng/image/community.png,eng/audio/community.ogg,eng/audio/community.ogg
company,company,4,eng/image/company.png,eng/audio/company.ogg,eng/audio/company.ogg
compass,compass,4,eng/image/compass.png,eng/audio/compass.ogg,eng/audio/compass.ogg
complaint,complaint,4,eng/image/complaint.png,eng/audio/complaint.ogg,eng/audio/complaint.ogg
complete,complete,4,eng/image/complete.png,eng/audio/complete.ogg,eng/audio/complete.ogg
compound,compound,4,eng/image/compound.png,eng/audio/compound.ogg,eng/audio/compound.ogg
computer,computer,4,eng/image/computer.png,eng/audio/computer.ogg,eng/audio/computer.ogg
conductor,conductor,4,eng/image/conductor.png,eng/audio/conductor.ogg,eng/audio/conductor.ogg
confuse,confuse,4,eng/image/confuse.png,eng/audio/confuse.ogg,eng/audio/confuse.ogg
congratulation,congratulation,4,eng/image/congratulation.png,eng/audio/congratulation.ogg,eng/audio/congratulation.ogg
contest,contest,4,eng/image/contest.png,eng/audio/contest.ogg,eng/audio/contest.ogg
contestant,contestant,4,eng/image/contestant.png,eng/audio/contestant.ogg,eng/audio/contestant.ogg
contract,contract,4,eng/image/contract.png,eng/audio/contract.ogg,eng/audio/contract.ogg
cook,cook,4,eng/image/cook.png,eng/audio/cook.ogg,eng/audio/cook.ogg
copper,copper,4,eng/image/copper.png,eng/audio/copper.ogg,eng/audio/copper.ogg
copy,copy,4,eng/image/copy.png,eng/audio/copy.ogg,eng/audio/copy.ogg
corner,corner,4,eng/image/corner.png,eng/audio/corner.ogg,eng/audio/corner.ogg
correction,correction,4,eng/image/correction.png,eng/audio/correction.ogg,eng/audio/correction.ogg
cost,cost,4,eng/image/cost.png,eng/audio/cost.ogg,eng/audio/cost.ogg
cot,cot,4,eng/image/cot.png,eng/audio/cot.ogg,eng/audio/cot.ogg
cotton,cotton,4,eng/image/cotton.png,eng/audio/cotton.ogg,eng/audio/cotton.ogg
cough,cough,4,eng/image/cough.png,eng/audio/cough.ogg,eng/audio/cough.ogg
court,court,4,eng/image/court.png,eng/audio/court.ogg,eng/audio/court.ogg
cousin,cousin,4,eng/image/cousin.png,eng/audio/cousin.ogg,eng/audio/cousin.ogg
crack,crack,4,eng/image/crack.png,eng/audio/crack.ogg,eng/audio/crack.ogg
crawl,crawl,4,eng/image/crawl.png,eng/audio/crawl.ogg,eng/audio/crawl.ogg
crease,crease,4,eng/image/crease.png,eng/audio/crease.ogg,eng/audio/crease.ogg
creation,creation,4,eng/image/creation.png,eng/audio/creation.ogg,eng/audio/creation.ogg
credit,credit,4,eng/image/credit.png,eng/audio/credit.ogg,eng/audio/credit.ogg
crime,crime,4,eng/image/crime.png,eng/audio/crime.ogg,eng/audio/crime.ogg
criminal,criminal,4,eng/image/criminal.png,eng/audio/criminal.ogg,eng/audio/criminal.ogg
crocodile,crocodile,4,eng/image/crocodile.png,eng/audio/crocodile.ogg,eng/audio/crocodile.ogg
cross,cross,4,eng/image/cross.png,eng/audio/cross.ogg,eng/audio/cross.ogg
crow,crow,4,eng/image/crow.png,eng/audio/crow.ogg,eng/audio/crow.ogg
crowd,crowd,4,eng/image/crowd.png,eng/audio/crowd.ogg,eng/audio/crowd.ogg
crown,crown,4,eng/image/crown.png,eng/audio/crown.ogg,eng/audio/crown.ogg
cry,cry,4,eng/image/cry.png,eng/audio/cry.ogg,eng/audio/cry.ogg
cup,cup,4,eng/image/cup.png,eng/audio/cup.ogg,eng/audio/cup.ogg
cupboard,cupboard,4,eng/image/cupboard.png,eng/audio/cupboard.ogg,eng/audio/cupboard.ogg
cups,cups,4,eng/image/cups.png,eng/audio/cups.ogg,eng/audio/cups.ogg
currency,currency,4,eng/image/currency.png,eng/audio/currency.ogg,eng/audio/currency.ogg
curse,curse,4,eng/image/curse.png,eng/audio/curse.ogg,eng/audio/curse.ogg
customer,customer,4,eng/image/customer.png,eng/audio/customer.ogg,eng/audio/customer.ogg
cute,cute,4,eng/image/cute.png,eng/audio/cute.ogg,eng/audio/cute.ogg
daisy,daisy,4,eng/image/daisy.png,eng/audio/daisy.ogg,eng/audio/daisy.ogg
dancer,dancer,4,eng/image/dancer.png,eng/audio/dancer.ogg,eng/audio/dancer.ogg
daughter,daughter,4,eng/image/daughter.png,eng/audio/daughter.ogg,eng/audio/daughter.ogg
day,day,4,eng/image/day.png,eng/audio/day.ogg,eng/audio/day.ogg
death,death,4,eng/image/death.png,eng/audio/death.ogg,eng/audio/death.ogg
debate,debate,4,eng/image/debate.png,eng/audio/debate.ogg,eng/audio/debate.ogg
deer,deer,4,eng/image/deer.png,eng/audio/deer.ogg,eng/audio/deer.ogg
defender,defender,4,eng/image/defender.png,eng/audio/defender.ogg,eng/audio/defender.ogg
degree,degree,4,eng/image/degree.png,eng/audio/degree.ogg,eng/audio/degree.ogg
democracy,democracy,4,eng/image/democracy.png,eng/audio/democracy.ogg,eng/audio/democracy.ogg
deny,deny,4,eng/image/deny.png,eng/audio/deny.ogg,eng/audio/deny.ogg
department,department,4,eng/image/department.png,eng/audio/department.ogg,eng/audio/department.ogg
desert,desert,4,eng/image/desert.png,eng/audio/desert.ogg,eng/audio/desert.ogg
desire,desire,4,eng/image/desire.png,eng/audio/desire.ogg,eng/audio/desire.ogg
desk,desk,4,eng/image/desk.png,eng/audio/desk.ogg,eng/audio/desk.ogg
dial,dial,4,eng/image/dial.png,eng/audio/dial.ogg,eng/audio/dial.ogg
diameter,diameter,4,eng/image/diameter.png,eng/audio/diameter.ogg,eng/audio/diameter.ogg
diamond,diamond,4,eng/image/diamond.png,eng/audio/diamond.ogg,eng/audio/diamond.ogg
dictionary,dictionary,4,eng/image/dictionary.png,eng/audio/dictionary.ogg,eng/audio/dictionary.ogg
dip,dip,4,eng/image/dip.png,eng/audio/dip.ogg,eng/audio/dip.ogg
direction,direction,4,eng/image/direction.png,eng/audio/direction.ogg,eng/audio/direction.ogg
director,director,4,eng/image/director.png,eng/audio/director.ogg,eng/audio/director.ogg
dirt,dirt,4,eng/image/dirt.png,eng/audio/dirt.ogg,eng/audio/dirt.ogg
disaster,disaster,4,eng/image/disaster.png,eng/audio/disaster.ogg,eng/audio/disaster.ogg
discuss,discuss,4,eng/image/discuss.png,eng/audio/discuss.ogg,eng/audio/discuss.ogg
discussion,discussion,4,eng/image/discussion.png,eng/audio/discussion.ogg,eng/audio/discussion.ogg
disease,disease,4,eng/image/disease.png,eng/audio/disease.ogg,eng/audio/disease.ogg
disorder,disorder,4,eng/image/disorder.png,eng/audio/disorder.ogg,eng/audio/disorder.ogg
distance,distance,4,eng/image/distance.png,eng/audio/distance.ogg,eng/audio/distance.ogg
division,division,4,eng/image/division.png,eng/audio/division.ogg,eng/audio/division.ogg
doctor,doctor,4,eng/image/doctor.png,eng/audio/doctor.ogg,eng/audio/doctor.ogg
dog,dog,4,eng/image/dog.png,eng/audio/dog.ogg,eng/audio/dog.ogg
dollar,dollar,4,eng/image/dollar.png,eng/audio/dollar.ogg,eng/audio/dollar.ogg
donation,donation,4,eng/image/donation.png,eng/audio/donation.ogg,eng/audio/donation.ogg
donkey,donkey,4,eng/image/donkey.png,eng/audio/donkey.ogg,eng/audio/donkey.ogg
door,door,4,eng/image/door.png,eng/audio/door.ogg,eng/audio/door.ogg
doughnut,doughnut,4,eng/image/doughnut.png,eng/audio/doughnut.ogg,eng/audio/doughnut.ogg
down,down,4,eng/image/down.png,eng/audio/down.ogg,eng/audio/down.ogg
dozen,dozen,4,eng/image/dozen.png,eng/audio/dozen.ogg,eng/audio/dozen.ogg
draft,draft,4,eng/image/draft.png,eng/audio/draft.ogg,eng/audio/draft.ogg
drink,drink,4,eng/image/drink.png,eng/audio/drink.ogg,eng/audio/drink.ogg
